model,dataset,method,accuracy
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,cot,40.0
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,least_to_most,60.0
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,self_refine,20.0
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,standard,40.0
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,cot,3.7
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,least_to_most,4.2
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,self_refine,6.5
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,standard,2.8
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,cot,11.4
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,least_to_most,13.2
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,self_refine,11.6
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,standard,15.2
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,cot,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,least_to_most,40.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,self_refine,30.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,standard,30.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,cot,3.3
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,least_to_most,8.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,self_refine,6.9
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,standard,7.3
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,cot,10.8
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,least_to_most,9.4
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,self_refine,9.4
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,standard,11.6
